Company,Product Name,Product Category,Customer ID,Product ID,Date,Quantity,Total Cost (USD),State,Month,Year
Nike,Pegasus 39,Footwear,TZXSOAST,PROD8061,2023-12-10,4,905.24,Vermont,2023-12,2023
Under Armour,Charged Assert 9,Equipment,5REE5QYM,PROD5942,2023-11-24,1,277.4,Texas,2023-11,2023
Under Armour,Project Rock,Footwear,NZFS2L0E,PROD5563,2023-09-18,1,127.56,Tennessee,2023-09,2023
Puma,Cali Star Metallic,Apparel,7RGTGJ1T,PROD2891,2023-01-11,5,1202.09,Iowa,2023-01,2023
Under Armour,UA RUSH,Footwear,NDPH0R2O,PROD8871,2023-05-23,4,947.23,Virginia,2023-05,2023
Under Armour,UA RUSH,Footwear,JQRXGMBV,PROD6046,2023-09-21,2,242.26,Florida,2023-09,2023
Adidas,Ultraboost 21,Apparel,QQH1EHPP,PROD5417,2023-05-08,3,818.5,New Hampshire,2023-05,2023
Under Armour,Project Rock,Apparel,JBY1E4IH,PROD8128,2023-07-20,3,798.23,Nevada,2023-07,2023
Puma,Suede Classic,Apparel,CLKXFB17,PROD4430,2023-12-16,5,989.84,West Virginia,2023-12,2023
Nike,ZoomX Vaporfly,Footwear,AOLQMRLW,PROD6000,2023-08-02,3,466.46,Indiana,2023-08,2023
Under Armour,HOVR Phantom 2,Equipment,DSZG97O4,PROD8083,2023-02-01,5,867.87,Montana,2023-02,2023
Puma,RS-X³ Puzzle,Accessories,H4VB2T6H,PROD7773,2023-01-13,2,194.7,New Jersey,2023-01,2023
Adidas,Ultraboost 21,Apparel,231JZYM9,PROD4210,2023-04-23,4,971.3,South Carolina,2023-04,2023
Adidas,NMD_R1,Accessories,04G0D65I,PROD4031,2023-04-04,2,433.79,Kentucky,2023-04,2023
Under Armour,Charged Assert 9,Footwear,GRDC70W4,PROD7022,2023-01-02,5,311.5,New Hampshire,2023-01,2023
Puma,Cali Star Metallic,Footwear,QHMOUFMX,PROD2281,2023-02-20,1,162.31,Georgia,2023-02,2023
Adidas,Superstar,Apparel,NZSNQLF3,PROD9948,2023-11-04,4,350.34,Louisiana,2023-11,2023
Under Armour,UA RUSH,Apparel,ITKAPDA6,PROD1358,2023-01-21,1,121.99,New Mexico,2023-01,2023
Nike,Metcon 7,Apparel,DWL3YTQF,PROD8536,2023-11-18,4,249.07,Idaho,2023-11,2023
Nike,Air Max 270,Footwear,OVR1T3H6,PROD5924,2023-05-19,3,569.68,Connecticut,2023-05,2023
Nike,Pegasus 39,Equipment,1MPDRPGQ,PROD5322,2023-09-03,3,657.27,Iowa,2023-09,2023
Under Armour,UA RUSH,Apparel,XNMXNLLQ,PROD9369,2023-08-12,5,1388.01,Michigan,2023-08,2023
Puma,Ignite Flash,Apparel,11RYCFI4,PROD6201,2023-04-11,4,819.92,West Virginia,2023-04,2023
Nike,Air Max 270,Equipment,0GM5TCTS,PROD7131,2023-01-11,5,269.79,Connecticut,2023-01,2023
Under Armour,Charged Assert 9,Footwear,G51YMVWT,PROD3322,2023-01-23,5,1254.89,Arkansas,2023-01,2023
Puma,Suede Classic,Footwear,PT2PC0MU,PROD8673,2023-08-27,2,119.62,West Virginia,2023-08,2023
Puma,Cali Star Metallic,Footwear,7BAZFSUS,PROD9516,2023-07-25,5,765.56,Montana,2023-07,2023
Adidas,Superstar,Apparel,JGZ8UG5J,PROD4936,2023-11-15,4,994.3,Nevada,2023-11,2023
Under Armour,HOVR Phantom 2,Apparel,4B9X9ONW,PROD4781,2023-12-15,3,497.0,Oklahoma,2023-12,2023
Under Armour,UA RUSH,Accessories,9M1PYL3E,PROD1688,2023-04-12,4,769.79,Minnesota,2023-04,2023
Under Armour,UA RUSH,Equipment,0ERTG732,PROD9572,2023-11-22,2,494.94,North Carolina,2023-11,2023
Puma,Ignite Flash,Footwear,5OH0199T,PROD1846,2023-05-19,3,287.99,Oklahoma,2023-05,2023
Puma,Ignite Flash,Equipment,Q4J0K0PI,PROD5284,2023-01-08,4,687.26,Idaho,2023-01,2023
Adidas,Ultraboost 21,Footwear,YPQ5GNYP,PROD1131,2023-04-02,1,241.53,California,2023-04,2023
Nike,Air Max 270,Apparel,92TY1B2J,PROD1960,2023-03-16,1,180.69,Indiana,2023-03,2023
Adidas,NMD_R1,Accessories,20CIFZMT,PROD7394,2023-04-02,1,201.65,Connecticut,2023-04,2023
Nike,ZoomX Vaporfly,Equipment,8E33AFAI,PROD6737,2023-02-02,4,492.57,Kentucky,2023-02,2023
Puma,Suede Classic,Footwear,C0ZFBE6G,PROD6956,2023-06-13,3,359.71,North Dakota,2023-06,2023
Under Armour,Project Rock,Footwear,R1U0QOSH,PROD3840,2023-05-08,5,338.59,Rhode Island,2023-05,2023
Puma,Suede Classic,Footwear,6PF2POQ1,PROD2814,2023-09-17,1,259.35,Tennessee,2023-09,2023
Nike,Air Max 270,Accessories,8PR0VDXN,PROD7975,2023-10-08,2,210.6,Rhode Island,2023-10,2023
Adidas,NMD_R1,Accessories,BILFVLP7,PROD8807,2023-04-08,2,290.36,Minnesota,2023-04,2023
Nike,Pegasus 39,Apparel,RHVPPNY0,PROD3657,2023-10-18,2,344.24,Delaware,2023-10,2023
Puma,RS-X³ Puzzle,Apparel,OB2YGP5K,PROD4472,2023-09-10,2,560.31,Arkansas,2023-09,2023
Nike,Air Max 270,Equipment,TKQV15K6,PROD5321,2023-12-07,5,821.8,Michigan,2023-12,2023
Under Armour,Charged Assert 9,Accessories,UBVXXKVT,PROD7869,2023-06-10,4,1069.85,Texas,2023-06,2023
Adidas,NMD_R1,Footwear,S7TZVPQY,PROD9883,2023-05-26,2,203.04,Alabama,2023-05,2023
Adidas,Ultraboost 21,Footwear,4NCE3V4A,PROD6356,2023-02-22,4,699.36,Michigan,2023-02,2023
Under Armour,HOVR Phantom 2,Footwear,BLJ1LWXZ,PROD3007,2023-11-22,1,74.9,Tennessee,2023-11,2023
Nike,Air Max 270,Equipment,7RNLHUBV,PROD4239,2023-05-20,2,400.03,Kansas,2023-05,2023
Puma,Cali Star Metallic,Apparel,3HLYYHKN,PROD7829,2023-05-15,4,414.89,Massachusetts,2023-05,2023
Puma,Ignite Flash,Equipment,M6P3BVOK,PROD6090,2023-08-21,5,1323.57,Pennsylvania,2023-08,2023
Under Armour,Project Rock,Equipment,BPXWW3CU,PROD4187,2023-12-10,1,249.96,Michigan,2023-12,2023
Nike,ZoomX Vaporfly,Footwear,GUKGRFU2,PROD9814,2023-03-24,5,487.14,California,2023-03,2023
Nike,Air Max 270,Equipment,FO7Q7SSC,PROD3501,2023-03-03,5,612.55,Washington,2023-03,2023
Adidas,NMD_R1,Equipment,0LU9NOYQ,PROD7758,2023-02-08,2,447.74,South Dakota,2023-02,2023
Nike,Metcon 7,Accessories,6IQ3D7TA,PROD3652,2023-10-20,2,471.39,North Carolina,2023-10,2023
Adidas,NMD_R1,Equipment,T85DR4QV,PROD1880,2023-04-03,4,851.33,Nebraska,2023-04,2023
Adidas,NMD_R1,Footwear,2BB89UPT,PROD9979,2023-06-11,3,507.51,Idaho,2023-06,2023
Nike,Metcon 7,Accessories,ENQOT9O4,PROD9946,2023-03-11,5,1273.12,Maine,2023-03,2023
Nike,ZoomX Vaporfly,Apparel,14WQVHT5,PROD3263,2023-08-26,5,1055.6,New Jersey,2023-08,2023
Adidas,Ultraboost 21,Accessories,M34GJ46M,PROD4401,2023-08-14,3,609.56,Kentucky,2023-08,2023
Under Armour,Charged Assert 9,Accessories,2UYRCIIV,PROD3630,2023-09-23,4,261.41,Mississippi,2023-09,2023
Puma,RS-X³ Puzzle,Accessories,DNHMEI4L,PROD4941,2023-10-09,5,1274.67,Vermont,2023-10,2023
Nike,Air Max 270,Apparel,O6GG5HRN,PROD8137,2023-12-08,3,447.85,Wyoming,2023-12,2023
Under Armour,HOVR Phantom 2,Footwear,DVIBYH68,PROD2740,2023-11-08,3,364.21,Vermont,2023-11,2023
Adidas,NMD_R1,Footwear,4OWLR7IP,PROD5617,2023-02-13,4,529.23,Mississippi,2023-02,2023
Adidas,Gazelle,Equipment,WMFGRHQE,PROD8070,2023-03-18,5,1262.9,Ohio,2023-03,2023
Puma,Ignite Flash,Apparel,QVYYJ3HC,PROD2017,2023-02-04,1,263.88,Maine,2023-02,2023
Puma,Cali Star Metallic,Footwear,KN98Q8DO,PROD4073,2023-09-25,5,515.25,Maryland,2023-09,2023
Nike,Pegasus 39,Footwear,NW6K8G2Y,PROD6258,2023-12-11,4,1154.33,New Jersey,2023-12,2023
Under Armour,HOVR Phantom 2,Apparel,TJDSLTIH,PROD6235,2023-09-18,2,363.51,New Hampshire,2023-09,2023
Nike,Metcon 7,Accessories,CHEU6CKY,PROD4965,2023-09-14,5,931.12,Connecticut,2023-09,2023
